YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1949,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,23.02,17.90,14.05,8.79,999.90,999.90,999.90,18.32,999.90
1950,8.35,11.29,12.42,18.47,22.21,25.69,27.21,26.67,23.32,21.84,11.22,6.72,9.48,17.70,26.52,18.79,18.12
1951,7.29,8.94,12.76,17.50,22.87,26.46,29.25,30.39,25.94,19.89,9.51,8.86,7.65,17.71,28.70,18.45,18.13
1952,10.42,11.23,11.68,16.74,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,10.17,16.40,999.90,999.90,999.90
1953,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,7.58,999.90,999.90,999.90,999.90,999.90
1954,8.12,13.83,12.77,21.23,19.62,27.93,31.58,31.18,27.22,19.76,12.17,9.49,9.84,17.87,30.23,19.72,19.42
1955,6.99,7.85,14.12,21.56,24.43,26.18,29.78,999.90,26.74,19.54,11.97,8.04,8.11,20.04,28.17,19.42,18.93
1956,6.79,8.36,14.46,18.30,26.07,29.73,30.60,29.84,26.35,20.95,11.07,10.18,7.73,19.61,30.06,19.46,19.21
1957,6.53,11.48,11.85,16.68,20.49,24.84,29.19,28.24,23.29,16.33,9.34,9.94,9.40,16.34,27.42,16.32,17.37
1958,6.11,6.16,8.39,16.28,21.84,27.20,28.61,28.49,24.30,17.86,12.69,6.39,7.40,15.50,28.10,18.28,17.32
1959,4.92,8.02,13.38,17.43,23.75,25.65,26.77,28.58,25.95,17.34,8.72,9.89,6.44,18.19,27.00,17.34,17.24
1960,6.75,6.17,9.44,19.43,21.60,28.33,28.95,28.88,25.47,20.16,13.53,4.96,7.60,16.82,28.72,19.72,18.22
1961,5.21,9.08,14.51,17.68,22.86,24.20,26.55,26.62,22.83,18.30,10.21,6.77,6.42,18.35,25.79,17.11,16.92
1962,3.67,12.63,10.63,16.11,24.92,25.14,28.04,28.42,23.88,20.78,12.45,7.98,7.69,17.22,27.20,19.04,17.79
1963,3.00,8.34,14.88,22.10,23.44,26.19,30.02,29.06,24.94,21.72,12.99,4.43,6.44,20.14,28.42,19.88,18.72
1964,7.37,6.67,12.31,19.31,23.53,26.09,30.33,999.90,23.86,999.90,13.01,8.27,6.16,18.38,28.40,18.58,17.88
1965,8.38,7.28,7.96,19.58,22.14,25.80,29.20,27.95,25.19,17.42,15.50,9.56,7.98,16.56,27.65,19.37,17.89
1966,3.52,6.60,999.90,17.82,20.93,25.69,29.97,26.43,22.69,17.18,14.74,6.30,6.56,17.05,27.36,18.20,17.29
1967,8.29,8.93,17.12,21.74,21.08,26.55,28.09,27.53,21.96,18.04,12.22,6.66,7.84,19.98,27.39,17.41,18.15
1968,5.82,6.22,11.93,16.17,21.54,25.06,26.84,28.12,22.53,20.29,11.21,7.17,6.23,16.55,26.67,18.01,16.87
