YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1886,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.86,11.45,999.90,999.90,999.90,999.90,999.90
1887,10.42,7.64,12.60,12.51,999.90,16.65,15.79,16.12,17.41,18.37,13.17,10.63,9.84,13.25,16.19,16.32,13.90
1888,8.16,11.73,11.20,14.37,14.66,18.02,18.32,17.86,17.85,16.84,13.79,11.58,10.17,13.41,18.07,16.16,14.45
1889,9.22,11.40,13.41,14.69,15.54,17.30,16.66,17.33,18.44,16.32,14.15,9.89,10.73,14.55,17.10,16.30,14.67
1890,7.24,9.59,12.31,13.25,16.08,17.35,17.94,18.12,17.87,17.48,14.74,10.51,8.91,13.88,17.80,16.70,14.32
1891,11.54,10.69,12.50,12.72,14.88,18.13,18.81,19.05,18.22,16.17,14.57,9.35,10.91,13.37,18.66,16.32,14.82
1892,10.90,11.62,12.74,12.09,15.57,16.15,17.21,17.44,17.02,15.84,13.50,10.51,10.62,13.47,16.93,15.45,14.12
1893,8.84,9.84,11.04,11.78,15.27,16.98,17.41,16.73,16.38,14.82,12.96,11.04,9.73,12.70,17.04,14.72,13.55
1894,8.43,8.89,10.57,13.81,14.71,16.06,16.91,17.56,18.69,15.83,14.63,9.56,9.45,13.03,16.84,16.38,13.93
1895,8.74,11.97,11.51,13.41,16.33,17.75,17.99,17.58,17.20,15.82,13.24,8.91,10.09,13.75,17.77,15.42,14.26
1896,11.00,12.70,12.79,11.49,15.03,17.45,18.91,18.61,16.90,15.94,11.22,11.09,10.87,13.10,18.32,14.69,14.25
1897,9.01,9.96,9.41,14.90,16.50,18.01,18.19,16.90,17.71,15.24,11.09,9.51,10.02,13.60,17.70,14.68,14.00
1898,7.76,11.71,10.80,14.16,13.60,18.02,17.19,17.23,16.95,16.55,12.61,9.56,9.66,12.85,17.48,15.37,13.84
1899,11.42,11.18,11.75,13.62,13.51,16.98,16.48,16.98,16.67,15.27,13.36,9.63,10.72,12.96,16.81,15.10,13.90
1900,10.46,11.55,13.26,12.83,16.34,17.48,18.05,17.77,18.31,999.90,13.63,10.35,10.55,14.14,17.77,16.28,14.68
1901,9.91,999.90,13.48,12.34,14.39,16.94,16.78,16.72,16.26,17.44,14.28,10.73,10.55,13.40,16.81,15.99,14.19
1902,999.90,999.90,999.90,13.14,14.59,17.10,17.90,18.08,18.18,15.66,11.63,9.54,999.90,13.26,17.69,15.16,14.16
1903,8.59,8.40,10.97,12.41,14.88,17.89,16.89,16.57,17.41,16.79,13.26,10.66,8.84,12.75,17.12,15.82,13.63
1904,9.41,9.82,11.19,14.13,16.90,17.81,16.61,16.29,18.59,15.97,13.14,9.25,9.96,14.07,16.90,15.90,14.21
1905,10.38,11.56,13.56,999.90,14.42,15.94,17.63,16.72,16.98,15.60,12.63,9.70,10.40,13.90,16.76,15.07,14.03
1906,10.12,13.73,12.33,14.08,14.71,17.36,17.89,16.88,17.40,16.59,12.48,9.55,11.18,13.71,17.38,15.49,14.44
1907,8.29,12.97,10.59,14.40,15.18,16.38,999.90,17.36,999.90,999.90,999.90,999.90,10.27,13.39,16.91,999.90,14.04
1908,9.48,999.90,11.83,14.13,14.57,15.81,17.39,16.47,16.89,14.97,11.84,7.77,999.90,13.51,16.56,14.57,13.67
1909,10.42,10.09,10.58,14.10,14.39,16.19,17.51,16.67,17.45,15.07,11.63,8.94,9.43,13.02,16.79,14.72,13.49
1910,7.00,9.15,12.34,14.11,16.36,15.81,16.24,15.32,14.91,15.66,11.45,10.47,8.36,14.27,15.79,14.01,13.11
1911,9.48,999.90,12.18,12.45,14.34,15.15,15.71,15.41,15.46,15.16,12.37,9.21,10.39,12.99,15.42,14.33,13.28
1912,9.99,11.27,10.69,11.61,15.04,17.42,16.26,17.16,18.35,15.34,12.75,9.87,10.16,12.45,16.95,15.48,13.76
1913,7.58,10.60,10.82,13.03,14.55,16.00,17.50,18.38,19.12,16.95,12.02,999.90,9.35,12.80,17.29,16.03,13.87
1914,9.78,11.48,14.47,14.17,14.18,14.65,15.71,15.81,16.42,16.46,13.98,8.04,10.55,14.27,15.39,15.62,13.96
1915,9.05,10.29,13.32,13.38,13.80,16.00,18.06,17.87,17.07,16.30,12.80,9.86,9.13,13.50,17.31,15.39,13.83
1916,6.74,12.50,13.05,14.28,13.93,15.11,16.97,999.90,16.97,12.76,10.91,999.90,9.70,13.75,16.15,13.55,13.29
1917,7.25,10.01,9.85,12.76,12.83,16.50,17.23,15.55,999.90,999.90,13.77,12.39,8.55,11.81,16.43,999.90,12.79
1918,10.54,9.95,11.74,13.45,13.20,16.81,16.56,17.40,17.01,17.19,11.58,8.69,10.96,12.80,16.92,15.26,13.98
1919,10.16,9.61,10.46,13.10,14.92,15.72,15.59,16.29,17.39,15.54,12.78,999.90,9.49,12.83,15.87,15.24,13.35
1920,10.20,10.67,10.42,12.23,14.71,16.89,16.30,17.31,16.23,14.86,11.69,9.15,10.36,12.45,16.83,14.26,13.48
1921,8.59,10.92,11.96,12.80,13.26,17.62,16.63,16.63,17.42,16.22,13.16,10.50,9.55,12.67,16.96,15.60,13.70
1922,6.99,8.91,10.31,11.39,14.79,16.21,16.59,17.07,18.16,15.49,11.26,9.58,8.80,12.16,16.62,14.97,13.14
