YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,0.71,-0.79,0.01,7.31,16.91,19.61,21.51,20.91,17.71,10.51,2.71,-3.59,0.72,8.08,20.68,10.31,9.95
1881,-6.29,-2.99,2.21,5.71,13.01,15.81,20.51,21.21,19.11,11.71,5.71,3.23,-4.29,6.98,19.18,12.18,8.51
1882,-3.97,-1.57,1.53,5.33,9.63,18.63,22.23,21.23,17.13,12.33,3.23,-1.54,-0.77,5.50,20.70,10.90,9.08
1883,-4.83,-2.44,-1.34,6.66,12.96,20.56,21.46,19.46,14.76,8.06,5.36,-2.22,-2.94,6.09,20.49,9.39,8.26
1884,-5.02,-1.02,0.58,5.98,12.08,18.98,19.68,20.28,18.78,10.78,4.58,0.41,-2.75,6.21,19.65,11.38,8.62
1885,-3.19,-6.89,-2.99,7.81,11.21,19.81,21.51,19.31,15.01,10.31,6.11,-0.17,-3.22,5.34,20.21,10.48,8.20
1886,-3.97,-3.57,0.13,8.63,13.23,16.73,21.23,19.53,16.73,10.53,5.63,-2.54,-2.57,7.33,19.16,10.96,8.72
1887,-4.44,-2.34,-0.84,6.26,14.76,17.86,23.16,19.26,14.86,10.26,5.16,-0.32,-3.11,6.73,20.09,10.09,8.45
1888,-7.12,-2.61,-0.42,5.38,11.18,18.78,19.88,20.68,14.88,8.28,6.08,0.91,-3.35,5.38,19.78,9.75,7.89
1889,1.61,-3.79,2.91,8.31,15.21,20.21,20.31,19.21,16.61,8.71,6.51,2.83,-0.42,8.81,19.91,10.61,9.73
1890,-0.27,0.23,1.13,7.43,13.43,17.43,21.23,20.03,16.73,10.13,4.93,-3.74,0.93,7.33,19.56,10.60,9.61
1891,-0.94,-0.44,0.46,8.46,12.76,17.86,20.16,20.66,18.86,10.46,4.76,4.28,-1.71,7.23,19.56,11.36,9.11
1892,-2.51,-2.42,0.08,8.68,12.88,20.48,22.38,20.78,16.48,11.08,4.68,-1.59,-0.22,7.21,21.21,10.75,9.74
1893,-7.55,-4.04,0.27,6.37,12.97,17.61,21.40,20.19,14.87,11.85,4.46,-2.13,-4.39,6.54,19.73,10.39,8.07
1894,-2.05,-4.00,4.92,7.60,13.84,20.00,22.68,19.37,17.58,11.36,2.48,-0.43,-2.73,8.79,20.68,10.47,9.30
1895,-2.63,-5.01,0.71,7.12,15.30,18.84,20.27,21.03,18.13,8.94,6.45,1.00,-2.69,7.71,20.05,11.17,9.06
1896,-4.94,-2.88,-0.73,7.83,15.21,18.45,21.66,20.89,16.14,9.29,7.01,-1.78,-2.27,7.44,20.33,10.81,9.08
1897,-2.92,-1.59,2.03,8.82,13.77,16.29,21.57,20.26,16.66,11.62,4.20,0.25,-2.10,8.21,19.37,10.83,9.08
1898,-2.80,-0.57,5.33,5.90,12.76,18.26,21.65,22.20,18.34,11.52,4.46,-0.91,-1.04,8.00,20.70,11.44,9.78
1899,-2.60,-3.89,0.40,8.29,13.79,20.61,22.11,19.77,15.99,11.65,4.52,1.47,-2.47,7.49,20.83,10.72,9.14
1900,-2.04,-2.51,0.36,8.53,12.37,19.82,22.79,21.07,17.64,12.84,5.97,-0.08,-1.03,7.09,21.23,12.15,9.86
1901,-3.44,-5.32,1.59,5.72,11.87,19.56,22.55,20.83,17.91,11.61,1.82,-0.61,-2.95,6.39,20.98,10.45,8.72
1902,-3.84,-2.78,5.56,8.45,13.80,17.40,19.44,19.12,16.35,11.15,6.80,-2.80,-2.41,9.27,18.65,11.43,9.24
1903,-2.86,-1.33,6.15,8.14,14.17,14.89,21.40,17.68,17.34,11.30,3.35,-2.60,-2.33,9.49,17.99,10.66,8.95
1904,-6.80,-6.29,0.66,6.35,15.48,17.20,21.40,19.73,16.24,9.42,2.31,-4.36,-5.23,7.50,19.44,9.32,7.76
1905,-4.84,-5.85,2.08,7.54,13.67,17.89,22.39,19.65,15.96,11.13,4.18,0.81,-5.02,7.76,19.98,10.42,8.29
1906,1.23,-2.34,-0.57,7.76,13.91,18.56,20.66,21.57,17.64,10.52,4.25,-2.55,-0.10,7.03,20.26,10.80,9.50
1907,-3.79,-6.81,2.49,5.37,10.55,17.57,21.66,19.99,17.07,8.78,4.88,1.70,-4.38,6.14,19.74,10.24,7.93
1908,-1.51,-4.26,2.66,7.28,14.16,20.20,22.63,19.81,17.83,11.83,5.03,-0.47,-1.36,8.03,20.88,11.56,9.78
1909,-2.23,-0.98,1.65,7.78,12.39,19.91,21.19,19.84,16.04,10.42,6.58,-1.88,-1.23,7.27,20.31,11.01,9.34
1910,-1.28,-2.73,4.51,9.95,13.37,17.59,23.07,19.51,16.15,12.18,3.72,-3.71,-1.96,9.28,20.06,10.68,9.51
