YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1911,999.90,999.90,999.90,999.90,999.90,999.90,38.25,36.65,31.35,23.05,15.75,11.25,999.90,999.90,36.41,23.38,999.90
1912,12.05,15.95,18.95,22.35,28.35,32.75,35.45,35.95,28.85,22.55,15.45,9.75,13.08,23.22,34.72,22.28,23.32
1913,8.05,14.45,17.65,25.55,29.75,33.95,37.35,38.45,34.05,28.35,999.90,999.90,10.75,24.32,36.58,27.19,24.71
1914,999.90,19.95,23.45,24.45,30.25,33.45,39.05,38.35,32.55,28.15,22.95,19.35,999.90,26.05,36.95,27.88,26.24
1915,999.90,16.95,21.35,25.95,27.25,38.35,41.25,41.85,999.90,24.65,17.65,999.90,17.53,24.85,40.48,25.06,26.98
1916,999.90,14.95,22.85,27.65,29.55,35.25,39.55,37.05,32.65,21.25,13.05,8.45,999.90,26.68,37.28,22.32,24.71
1917,8.45,14.95,16.65,23.55,26.35,36.05,42.15,38.55,32.25,27.25,17.45,12.75,10.62,22.18,38.92,25.65,24.34
1918,12.65,14.65,20.15,25.25,28.15,38.85,38.75,999.90,30.95,24.15,14.45,9.15,13.35,24.52,39.00,23.18,25.01
1919,8.05,12.55,16.55,24.15,31.45,35.75,40.75,39.65,33.75,22.25,14.55,9.45,9.92,24.05,38.72,23.52,24.05
1920,12.65,14.65,17.95,23.85,30.65,35.25,40.15,39.05,999.90,22.25,14.45,9.95,12.25,24.15,38.15,22.26,24.20
1921,11.15,15.85,20.15,21.85,24.55,35.15,40.85,37.25,30.45,23.75,17.65,999.90,12.32,22.18,37.75,23.95,24.05
1922,8.61,13.61,17.71,22.81,30.81,38.31,999.90,37.91,34.41,25.01,16.01,12.91,10.46,23.78,38.95,25.14,24.58
1923,12.61,14.31,19.11,24.01,29.81,30.31,37.31,35.61,31.31,23.51,17.21,11.41,13.28,24.31,34.41,24.01,24.00
1924,9.61,17.01,16.31,24.11,32.11,36.71,39.71,41.21,31.21,19.31,15.21,9.61,12.68,24.18,39.21,21.91,24.49
1925,10.91,15.51,19.71,24.61,31.11,33.61,38.71,35.91,30.91,23.41,15.81,14.31,12.01,25.14,36.08,23.38,24.15
1926,12.71,16.01,22.11,26.11,31.81,36.61,38.61,36.31,31.51,25.61,18.01,12.01,14.34,26.68,37.18,25.04,25.81
1927,11.61,15.11,17.11,24.81,29.21,36.11,41.51,38.31,32.41,999.90,999.90,999.90,12.91,23.71,38.64,999.90,25.04
1928,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1929,999.90,999.90,999.90,999.90,999.90,33.81,41.81,41.11,999.90,26.81,16.91,13.51,999.90,999.90,38.91,25.77,999.90
1930,10.91,17.71,20.51,26.81,27.61,36.01,999.90,36.81,31.81,25.11,16.91,999.90,14.04,24.98,37.25,24.61,25.22
1931,13.61,999.90,21.71,25.81,31.61,33.81,39.41,35.21,31.21,25.81,14.81,9.11,999.90,26.38,36.14,23.94,24.77
1932,9.61,13.21,19.41,25.01,28.71,999.90,38.11,36.91,34.11,25.41,19.51,10.71,10.64,24.38,36.47,26.34,24.46
1933,9.91,11.41,19.01,23.11,26.01,34.71,41.71,38.41,33.31,28.11,18.01,11.71,10.68,22.71,38.28,26.48,24.54
1934,14.11,17.41,24.21,28.31,32.11,33.21,39.31,39.41,33.21,25.41,18.21,13.11,14.41,28.21,37.31,25.61,26.39
1935,11.81,15.91,17.71,24.81,29.91,37.51,37.71,38.11,35.21,24.61,15.21,12.41,13.61,24.14,37.78,25.01,25.14
