YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1920,-7.40,-4.04,3.06,6.99,13.56,18.79,21.56,22.40,18.55,14.36,3.90,0.55,-5.08,7.87,20.92,12.27,8.99
1921,-1.50,-0.93,7.01,11.91,15.36,20.19,24.20,20.43,20.34,11.49,4.40,-1.43,-0.63,11.43,21.61,12.08,11.12
1922,-4.35,-1.21,3.38,9.25,16.81,20.75,22.32,21.02,18.38,12.16,5.44,-1.98,-2.33,9.81,21.36,11.99,10.21
1923,-4.53,-6.05,0.42,8.76,14.41,21.14,21.71,999.90,18.27,11.59,5.18,3.35,-4.19,7.86,21.54,11.68,9.22
1924,-1.59,-4.35,2.42,8.39,13.11,19.05,22.63,21.75,15.72,11.45,5.15,-1.75,-0.86,7.97,21.14,10.77,9.76
1925,-4.62,1.56,5.29,999.90,13.86,21.96,21.92,21.54,17.37,7.88,4.74,-0.23,-1.60,9.61,21.81,10.00,9.95
1926,-1.55,-3.64,0.53,5.75,13.83,17.68,22.25,21.66,16.40,10.39,5.17,-4.00,-1.81,6.70,20.53,10.65,9.02
1927,-2.67,-0.09,5.15,8.14,13.35,18.23,999.90,19.13,17.69,13.41,6.79,0.20,-2.25,8.88,19.37,12.63,9.66
1928,-0.86,999.90,2.32,7.70,999.90,18.50,23.44,23.19,15.64,12.66,5.89,2.24,-0.39,8.04,21.71,11.40,10.19
1929,-3.14,999.90,4.53,8.07,15.33,20.50,22.36,20.53,18.32,10.61,5.32,-1.10,-0.51,9.31,21.13,11.42,10.34
1930,-1.96,999.90,2.69,7.99,16.09,22.15,22.78,21.24,19.50,10.61,5.47,-0.40,-1.59,8.92,22.06,11.86,10.31
1931,-2.73,-2.11,3.50,9.62,15.48,20.29,23.99,22.02,19.70,13.84,8.14,1.68,-1.75,9.53,22.10,13.89,10.95
1932,2.70,-1.21,1.39,7.90,15.44,19.61,22.19,22.27,17.79,12.70,4.09,1.06,1.06,8.24,21.36,11.53,10.55
1933,2.27,-0.71,999.90,999.90,999.90,999.90,999.90,21.68,18.47,11.07,2.53,-3.40,0.87,999.90,999.90,10.69,999.90
1934,-1.63,-9.09,1.58,9.27,16.26,20.96,24.00,20.02,999.90,9.74,6.93,-1.63,-4.71,9.04,21.66,11.33,9.33
1935,-5.03,-2.81,3.92,8.58,13.74,19.66,23.81,22.00,15.99,11.79,7.10,-2.73,-3.16,8.75,21.82,11.63,9.76
1936,-3.10,-6.17,999.90,7.51,16.30,19.91,22.60,21.77,17.58,11.46,3.17,1.28,-4.00,8.84,21.43,10.74,9.25
1937,1.62,0.03,0.55,8.22,16.25,20.40,23.13,23.50,16.42,10.53,5.37,-0.86,0.98,8.34,22.34,10.77,10.61
1938,-3.48,-0.75,4.67,10.38,13.97,20.05,23.05,22.78,16.26,13.29,6.27,-0.21,-1.70,9.67,21.96,11.94,10.47
1939,-3.03,-0.78,0.93,7.31,16.44,20.25,22.86,999.90,999.90,999.90,999.90,999.90,-1.34,8.23,21.67,999.90,10.02
1940,999.90,999.90,-0.13,6.84,14.87,19.06,23.05,20.32,16.61,9.08,5.03,0.40,999.90,7.19,20.81,10.24,8.82
1941,-4.69,-2.22,0.14,11.81,999.90,20.59,23.18,20.91,18.21,12.78,7.18,0.79,-2.17,9.00,21.56,12.72,10.28
1942,-3.83,-3.21,5.14,10.66,17.41,20.57,22.97,21.41,18.27,12.50,5.69,-3.12,-2.08,11.07,21.65,12.15,10.70
1943,-4.24,-2.30,1.80,6.31,15.39,22.86,23.65,21.75,17.64,11.33,999.90,-2.73,-3.22,7.83,22.75,11.55,9.73
1944,999.90,-2.12,0.76,7.59,18.28,20.37,23.89,23.05,18.59,999.90,4.79,-2.90,-3.00,8.88,22.44,11.63,9.98
1945,-6.56,-2.45,8.13,11.94,13.59,999.90,23.01,21.22,19.27,10.67,5.61,999.90,-3.97,11.22,21.31,11.85,10.10
1946,-3.16,-3.62,999.90,8.37,14.31,19.77,22.52,20.07,18.96,13.82,7.33,0.21,-2.75,8.28,20.79,13.37,9.92
1947,-0.87,-3.08,2.27,8.33,14.21,18.98,23.43,23.19,17.81,14.53,4.26,-2.25,-1.25,8.27,21.87,12.20,10.27
1948,-6.69,-4.94,2.62,9.09,14.46,19.27,23.57,22.41,18.30,11.12,8.10,0.20,-4.63,8.72,21.75,12.51,9.59
1949,1.05,0.48,3.82,10.47,15.73,22.26,25.34,23.27,16.80,14.50,4.73,0.11,0.58,10.01,23.62,12.01,11.55
1950,1.35,-3.05,0.56,7.79,14.35,20.12,22.33,21.28,15.90,12.85,6.83,-0.11,-0.53,7.57,21.24,11.86,10.04
1951,-0.61,0.14,4.08,10.25,15.76,19.69,23.53,21.84,17.50,12.50,3.67,0.15,-0.19,10.03,21.69,11.22,10.69
1952,-0.74,-0.31,3.14,10.88,13.97,21.70,25.14,22.10,18.23,10.53,5.59,1.09,-0.30,9.33,22.98,11.45,10.87
1953,0.08,1.26,4.49,9.74,16.10,21.24,23.38,22.06,18.61,12.77,6.62,2.79,0.81,10.11,22.23,12.67,11.45
1954,-4.25,2.22,4.03,10.28,14.20,20.71,22.60,999.90,16.94,14.35,5.63,0.57,0.25,9.50,21.77,12.31,10.96
1955,-2.80,-0.34,2.88,10.32,17.26,19.12,25.34,23.72,17.61,13.13,4.76,-3.89,-0.86,10.15,22.73,11.83,10.96
1956,-1.29,0.18,0.69,7.13,13.45,21.10,22.00,21.30,14.72,10.39,6.39,2.14,-1.67,7.09,21.47,10.50,9.35
1957,999.90,0.60,4.00,9.91,15.16,22.26,22.75,20.11,17.92,11.17,7.94,3.07,0.79,9.69,21.71,12.34,11.13
1958,-2.76,-4.08,3.98,9.93,13.78,18.19,22.94,22.13,17.15,10.56,6.85,-4.32,-1.26,9.23,21.09,11.52,10.14
1959,-2.42,-2.87,2.50,10.22,17.05,19.01,23.20,23.85,19.99,12.61,5.88,0.64,-3.20,9.92,22.02,12.83,10.39
1960,-2.08,1.37,-0.18,10.62,15.92,20.21,21.71,22.03,17.50,11.21,6.91,-3.18,-0.02,8.79,21.32,11.87,10.49
1961,-5.26,-0.75,2.94,7.68,13.55,20.42,22.77,21.94,21.13,12.93,6.20,-0.77,-3.06,8.06,21.71,13.42,10.03
1962,-2.75,-3.44,3.87,9.39,15.37,20.18,20.14,20.61,15.55,10.74,3.43,-3.77,-2.32,9.54,20.31,9.91,9.36
1963,-3.82,-4.80,3.11,8.68,14.05,19.45,22.42,19.62,15.16,13.88,8.48,-4.62,-4.13,8.61,20.50,12.51,9.37
1964,-1.42,-2.61,3.50,9.06,16.47,19.67,23.00,19.38,17.18,10.80,6.57,-0.38,-2.88,9.68,20.68,11.52,9.75
1965,-4.24,-2.06,2.19,8.17,16.96,19.73,21.46,21.51,17.82,11.09,5.08,1.34,-2.23,9.11,20.90,11.33,9.78
1966,-2.69,-1.24,3.81,7.23,13.16,20.89,23.51,22.36,16.54,10.65,7.66,-0.14,-0.86,8.07,22.25,11.62,10.27
