YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1894,0.15,-2.10,9.16,15.48,19.59,25.06,26.99,25.97,21.66,15.44,7.33,2.65,-0.86,14.74,26.01,14.81,13.67
1895,-2.62,-2.93,7.64,16.22,20.93,24.15,24.76,25.78,24.48,12.06,4.70,0.44,-0.97,14.93,24.90,13.75,13.15
1896,1.55,3.44,4.28,999.90,999.90,23.43,25.95,26.91,20.85,13.30,5.65,5.00,1.81,999.90,25.43,13.27,13.32
1897,0.21,3.40,9.27,14.06,18.08,24.15,27.00,999.90,22.93,999.90,999.90,0.11,2.87,13.80,25.80,999.90,14.43
1898,1.55,4.56,6.68,12.96,19.00,24.41,999.90,999.90,20.59,14.28,5.21,-1.46,2.07,12.88,999.90,13.36,13.50
1899,-0.39,-4.47,4.85,999.90,999.90,999.90,999.90,999.90,999.90,17.26,8.08,-0.56,-2.11,999.90,999.90,16.22,999.90
1900,2.44,-0.12,7.43,14.54,18.91,23.93,26.06,27.58,22.58,16.16,5.79,1.98,0.59,13.63,25.86,14.84,13.73
1901,0.83,-0.14,5.63,11.91,17.76,26.66,29.90,26.28,21.49,999.90,999.90,999.90,0.89,11.77,27.61,999.90,13.69
1902,0.45,-0.19,8.55,15.02,21.46,23.77,26.71,28.16,19.74,16.39,9.44,-0.26,0.24,15.01,26.21,15.19,14.16
1903,0.54,-0.51,999.90,14.06,17.90,20.09,27.57,25.90,21.22,999.90,999.90,2.17,-0.08,13.14,24.52,999.90,12.80
1904,-0.11,3.67,10.38,12.44,18.22,22.51,25.89,25.23,23.14,15.03,8.02,-0.12,1.91,13.68,24.54,15.40,13.88
1905,-6.12,-5.07,11.16,13.10,18.77,25.81,25.76,26.61,23.38,13.60,999.90,999.90,-3.77,14.34,26.06,14.77,12.85
1906,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1907,3.75,3.84,12.76,10.83,15.29,23.11,26.27,26.55,22.50,14.62,6.41,3.38,3.91,12.96,25.31,14.51,14.17
1908,2.93,4.74,10.27,13.75,18.92,23.52,25.50,26.23,20.89,13.04,6.99,3.36,3.68,14.31,25.08,13.64,14.18
1909,0.39,3.50,6.78,13.72,18.01,24.46,27.95,27.59,21.88,14.55,10.20,-2.97,2.42,12.84,26.67,15.54,14.37
1910,1.01,0.60,13.17,14.82,17.82,24.51,28.76,25.74,23.84,15.28,7.46,0.45,-0.45,15.27,26.34,15.53,14.17
1911,1.95,3.88,9.92,13.34,20.48,27.79,26.62,24.45,25.45,14.72,5.00,0.94,2.09,14.58,26.29,15.06,14.50
1912,-4.61,0.49,2.51,13.37,20.68,22.02,28.18,25.88,19.99,14.77,7.84,1.77,-1.06,12.19,25.36,14.20,12.67
1913,0.26,-3.09,5.20,13.30,20.18,24.37,28.87,29.65,20.69,13.20,10.99,1.91,-0.35,12.89,27.63,14.96,13.78
1914,4.12,0.47,7.54,13.52,17.75,26.97,28.95,27.32,23.47,14.68,9.41,-2.35,2.17,12.94,27.75,15.85,14.68
1915,0.21,4.69,1.87,15.31,16.89,21.95,25.60,21.86,22.07,15.10,9.51,2.18,0.85,11.36,23.14,15.56,12.73
1916,-0.90,1.76,8.94,10.44,19.54,23.12,999.90,27.19,21.44,15.73,999.90,999.90,1.01,12.97,25.75,14.86,13.65
1917,999.90,999.90,999.90,12.77,15.60,25.08,28.93,24.53,21.35,11.45,999.90,999.90,999.90,11.35,26.18,12.68,12.58
