YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1893,-4.12,2.56,7.14,14.10,17.66,23.71,27.15,24.37,21.76,13.88,7.12,3.99,-0.43,12.97,25.08,14.25,12.97
1894,3.90,2.04,10.00,13.12,18.00,24.39,25.39,25.37,22.40,14.07,6.05,3.91,3.31,13.71,25.05,14.17,14.06
1895,-1.15,-3.56,6.69,14.07,18.26,24.98,24.22,25.33,23.00,10.98,7.35,4.10,-0.27,13.01,24.84,13.78,12.84
1896,2.26,2.92,4.35,17.67,22.31,23.50,25.98,25.30,19.87,12.57,9.98,4.42,3.09,14.78,24.93,14.14,14.23
1897,-0.10,3.42,999.90,13.13,16.17,23.34,26.24,24.58,22.19,17.06,8.76,3.26,2.58,11.79,24.72,16.00,13.77
1898,4.17,3.05,10.10,11.31,19.62,25.02,26.36,25.61,22.98,14.30,6.57,1.15,3.49,13.68,25.66,14.62,14.36
1899,1.40,-3.36,6.26,14.08,20.36,24.96,25.83,26.04,21.19,16.25,9.65,1.71,-0.27,13.57,25.61,15.70,13.65
1900,2.81,-0.08,5.45,13.21,19.39,24.15,26.22,27.81,24.06,18.27,8.65,3.48,1.48,12.68,26.06,16.99,14.30
1901,1.97,-0.28,7.83,10.50,17.82,24.66,28.71,25.27,20.71,14.47,5.29,0.04,1.72,12.05,26.21,13.49,13.37
1902,0.39,-3.31,8.11,12.91,21.48,23.54,26.33,24.47,19.83,15.69,11.89,2.19,-0.96,14.17,24.78,15.80,13.45
1903,0.39,2.36,10.51,12.85,20.62,21.48,26.45,24.79,21.07,14.21,5.46,-0.82,1.65,14.66,24.24,13.58,13.53
1904,-0.75,0.17,7.94,10.39,18.92,23.77,25.23,24.89,22.01,13.93,7.04,2.13,-0.47,12.42,24.63,14.33,12.73
1905,-2.39,-2.75,10.12,13.67,20.35,24.69,25.46,25.28,21.51,13.96,7.69,2.84,-1.00,14.71,25.14,14.39,13.31
1906,3.92,0.28,2.99,14.41,19.34,24.62,25.22,26.34,23.50,14.29,7.92,4.65,2.35,12.25,25.39,15.24,13.81
1907,5.23,1.64,12.80,9.16,16.90,23.02,26.94,24.22,21.16,12.89,6.16,3.51,3.84,12.95,24.73,13.40,13.73
1908,1.43,1.54,10.62,13.56,19.76,23.53,25.79,25.10,22.82,14.08,8.98,4.37,2.16,14.65,24.81,15.29,14.23
1909,2.97,5.63,7.30,13.05,17.77,24.65,24.37,25.74,20.31,12.72,12.36,-1.25,4.32,12.71,24.92,15.13,14.27
1910,0.60,-0.10,12.33,13.21,16.36,21.81,25.24,23.47,21.88,15.58,5.41,-0.63,-0.25,13.97,23.51,14.29,12.88
1911,4.08,5.39,7.36,12.03,21.12,24.84,25.52,25.46,23.47,14.97,5.28,5.09,2.95,13.50,25.27,14.57,14.07
1912,-4.35,-2.19,4.12,14.50,19.62,21.96,25.97,24.12,21.81,14.99,8.18,3.24,-0.48,12.75,24.02,14.99,12.82
1913,5.42,0.81,7.86,13.12,19.17,24.36,27.72,26.29,21.21,13.88,10.42,4.05,3.16,13.38,26.12,15.17,14.46
1914,4.00,-0.97,5.54,12.88,19.34,26.11,27.05,25.36,20.56,16.02,8.73,-0.02,2.36,12.59,26.17,15.10,14.06
1915,-0.17,5.13,3.82,15.85,18.23,22.85,25.09,22.40,22.33,15.93,10.11,2.62,1.65,12.63,23.45,16.12,13.46
1916,4.44,1.13,6.06,12.56,20.22,21.96,27.05,25.80,19.97,13.87,8.73,1.68,2.73,12.95,24.94,14.19,13.70
1917,1.93,0.89,7.60,12.77,15.48,22.47,25.07,24.45,20.40,11.28,6.75,-3.50,1.50,11.95,24.00,12.81,12.56
1918,-6.93,3.19,10.46,12.49,21.66,23.80,24.06,27.58,17.15,16.54,7.69,7.14,-2.41,14.87,25.15,13.79,12.85
1919,3.01,2.97,8.16,13.45,17.54,25.68,26.93,24.54,22.39,18.19,8.03,0.41,4.37,13.05,25.72,16.20,14.84
1920,-0.69,1.43,7.93,11.11,17.81,22.85,24.89,23.48,21.87,16.42,7.17,3.54,0.38,12.28,23.74,15.15,12.89
1921,3.65,4.31,13.28,14.78,19.24,26.41,29.17,25.14,23.55,13.81,9.36,4.62,3.83,15.77,26.91,15.57,15.52
1922,0.21,3.99,9.20,15.31,21.69,25.49,25.72,24.50,22.81,15.17,9.04,4.20,2.94,15.40,25.24,15.67,14.81
1923,4.19,0.40,6.59,12.19,18.30,24.18,26.43,24.79,21.28,13.40,7.82,7.59,2.93,12.36,25.13,14.17,13.65
1924,-1.68,1.28,4.85,14.00,15.71,24.32,24.49,24.89,18.59,15.51,8.19,1.02,2.40,11.52,24.57,14.10,13.14
1925,0.86,5.79,8.87,16.32,16.74,26.07,26.28,25.47,25.23,11.09,6.91,0.96,2.56,13.98,25.94,14.41,14.22
1926,0.15,3.96,3.77,9.52,19.87,23.18,26.85,25.55,22.20,14.24,5.73,2.45,1.69,11.05,25.19,14.06,13.00
1927,1.46,6.41,8.92,14.69,18.86,21.93,25.80,21.97,22.89,15.46,10.44,2.28,3.44,14.16,23.23,16.26,14.27
1928,0.85,1.99,6.42,11.34,17.95,21.63,25.88,25.43,18.51,15.78,8.25,3.39,1.71,11.90,24.31,14.18,13.03
1929,-0.05,-1.01,10.65,15.52,18.05,22.91,26.25,24.17,20.56,13.13,6.15,3.24,0.78,14.74,24.44,13.28,13.31
1930,0.75,6.69,6.14,15.31,999.90,24.01,27.89,25.74,22.23,12.97,7.91,1.82,3.56,13.51,25.88,14.37,14.33
1931,2.47,4.52,4.77,13.08,17.57,25.20,28.29,25.15,24.03,15.83,999.90,999.90,2.94,11.81,26.21,16.54,14.37
1932,999.90,999.90,4.12,12.95,19.22,24.86,27.40,25.55,21.31,13.67,5.94,2.82,999.90,12.10,25.94,13.64,13.34
1933,5.51,2.21,6.94,12.50,20.42,26.93,26.68,25.44,24.25,13.53,7.18,5.59,3.51,13.29,26.35,14.99,14.53
1934,3.63,-0.43,6.19,13.73,20.85,27.21,29.38,25.89,21.16,999.90,999.90,999.90,2.93,13.59,27.49,999.90,14.98
1935,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1936,999.90,999.90,999.90,999.90,999.90,24.84,29.32,28.87,23.72,14.69,5.79,3.67,999.90,999.90,27.68,14.73,999.90
1937,4.67,2.72,5.09,12.56,18.61,24.05,25.07,25.94,19.74,11.56,6.01,1.65,3.69,12.09,25.02,12.44,13.31
1938,1.77,6.79,10.76,15.17,19.23,23.07,999.90,26.35,22.11,15.52,9.17,3.19,3.40,15.05,25.20,15.60,14.81
1939,4.58,3.99,9.32,12.33,19.89,25.05,25.78,24.77,23.81,15.95,6.69,3.90,3.92,13.85,25.20,15.48,14.61
1940,-6.26,2.06,6.83,12.48,17.06,24.36,25.79,25.88,19.53,16.39,8.04,5.55,-0.10,12.12,25.34,14.65,13.01
1941,2.14,0.42,4.80,15.42,20.26,24.37,26.35,25.67,23.11,17.32,8.06,5.38,2.70,13.49,25.46,16.16,14.46
1942,0.10,0.71,9.11,14.66,18.80,23.94,26.28,24.63,20.39,14.76,9.81,1.80,2.06,14.19,24.95,14.99,14.05
1943,2.48,3.87,5.53,12.25,19.60,25.78,26.42,26.28,19.17,13.82,6.95,1.72,2.72,12.46,26.16,13.31,13.66
1944,2.81,5.13,6.57,13.07,21.70,26.21,25.75,24.97,20.49,14.19,8.09,0.40,3.22,13.78,25.64,14.26,14.22
1945,-1.01,2.66,13.32,14.05,16.58,22.27,24.30,24.12,22.50,13.59,8.98,-0.48,0.68,14.65,23.56,15.02,13.48
1946,2.56,4.29,13.38,14.78,17.59,23.34,24.57,21.92,20.44,15.40,10.40,999.90,2.12,15.25,23.28,15.41,14.02
1947,999.90,999.90,999.90,14.11,16.85,22.79,22.97,27.59,21.75,18.43,7.06,3.11,999.90,12.62,24.45,15.75,13.73
1948,-2.67,3.01,9.82,15.91,18.34,24.07,25.93,24.51,21.72,12.89,9.81,4.44,1.15,14.69,24.84,14.81,13.87
1949,5.72,5.55,9.07,12.78,20.04,24.76,27.84,25.24,18.61,16.92,8.70,4.89,5.24,13.96,25.95,14.74,14.97
1950,6.76,3.73,6.42,11.19,19.09,23.00,23.91,23.10,20.16,17.12,5.63,999.90,5.13,12.23,23.34,14.30,13.75
1951,3.27,2.66,6.38,11.97,19.33,23.67,25.73,25.03,19.94,15.73,4.75,3.01,3.31,12.56,24.81,13.47,13.54
1952,4.91,4.95,7.52,13.57,18.90,26.67,27.13,25.20,20.61,999.90,8.75,4.30,4.29,13.33,26.33,14.69,14.66
1953,4.29,5.60,9.03,11.56,20.45,25.85,25.45,24.82,21.87,999.90,8.21,3.40,4.73,13.68,25.37,15.05,14.71
1954,2.65,7.34,7.16,16.74,16.45,25.13,27.06,25.58,23.34,999.90,999.90,3.13,4.46,13.45,25.92,999.90,14.92
1955,0.98,3.18,8.34,15.91,19.28,20.61,27.07,26.09,22.49,14.70,7.11,1.74,2.43,14.51,24.59,14.77,14.07
1956,0.28,5.02,7.86,12.39,19.05,23.38,25.16,24.40,19.49,16.22,7.71,7.34,2.35,13.10,24.31,14.47,13.56
1957,0.12,5.48,7.29,14.88,19.26,23.94,25.65,24.35,21.19,12.67,999.90,999.90,4.31,13.81,24.65,13.54,14.08
1958,0.48,-2.27,999.90,13.62,18.55,22.04,24.89,23.86,20.78,14.36,9.87,-0.23,-0.55,13.23,23.60,15.00,12.82
1959,0.71,3.80,6.86,14.05,20.88,999.90,25.75,26.26,22.35,999.90,6.62,4.39,1.43,13.93,25.50,14.50,13.84
1960,3.00,0.89,-0.11,999.90,16.81,22.41,24.28,25.71,22.57,15.32,8.75,-0.30,2.76,8.42,24.13,15.55,12.72
1961,-0.87,4.72,9.23,10.38,999.90,999.90,999.90,23.54,22.38,14.95,7.92,2.61,1.18,12.59,999.90,15.08,13.35
1962,-0.28,999.90,6.53,12.10,22.08,23.16,24.59,999.90,17.61,15.60,7.32,999.90,1.21,13.57,23.89,13.51,13.04
1963,999.90,-0.70,10.14,15.02,17.34,23.20,23.95,22.98,19.92,17.64,9.27,-2.85,999.90,14.17,23.38,15.61,13.84
1964,2.40,1.26,8.22,15.21,19.47,24.02,24.72,24.55,20.54,12.85,9.92,999.90,0.27,14.30,24.43,14.44,13.36
1965,1.29,2.62,4.14,14.63,21.29,22.90,24.14,24.13,21.39,13.40,9.50,6.00,2.30,13.35,23.72,14.76,13.54
1966,-2.29,1.46,8.28,11.77,16.71,22.68,999.90,23.24,19.32,12.23,8.37,2.99,1.72,12.25,23.45,13.31,12.68
1967,3.63,0.11,9.72,15.20,17.04,23.05,999.90,21.97,18.95,14.36,6.01,4.09,2.24,13.99,23.00,13.11,13.08
1968,-1.32,-0.95,8.18,14.65,17.96,24.43,25.74,25.81,21.14,14.58,8.62,1.85,0.61,13.60,25.33,14.78,13.58
1969,-0.25,2.59,4.43,14.80,19.68,999.90,26.07,24.69,20.07,14.17,6.05,0.33,1.40,12.97,24.88,13.43,13.17
1970,-2.06,0.78,5.41,14.71,20.29,23.13,24.97,24.70,23.51,14.23,7.82,4.33,-0.32,13.47,24.27,15.19,13.15
1971,-0.80,1.65,6.33,12.50,16.53,25.24,23.91,999.90,22.04,18.11,8.31,7.48,1.73,11.79,24.59,16.15,13.56
1972,1.74,1.10,6.61,12.10,19.17,22.25,999.90,24.48,22.61,13.28,6.95,3.79,3.44,12.63,23.85,14.28,13.55
1973,1.86,2.39,999.90,12.76,16.56,24.47,25.97,24.96,22.73,16.68,9.05,2.23,2.68,11.80,25.13,16.15,13.94
