YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,4.87,3.49,2.93,10.82,21.13,23.86,24.77,23.59,20.38,12.96,4.06,-2.80,4.89,11.63,24.07,12.47,13.26
1881,-3.59,-1.90,3.62,9.35,17.89,19.55,24.21,24.04,23.82,14.87,7.50,4.52,-2.76,10.29,22.60,15.40,11.38
1882,-1.44,2.19,5.36,9.67,14.78,23.21,25.35,23.92,20.25,14.86,4.26,0.13,1.76,9.94,24.16,13.12,12.24
1883,-3.01,-0.46,1.06,9.57,17.05,24.20,24.61,21.92,17.57,11.80,6.82,1.07,-1.11,9.23,23.58,12.06,10.94
1884,-4.11,1.18,3.68,9.75,17.03,22.58,23.35,24.14,23.02,14.66,7.64,1.61,-0.62,10.15,23.36,15.11,12.00
1885,-1.03,-4.69,-0.60,10.37,15.90,22.07,26.53,23.23,18.59,12.62,7.33,2.34,-1.37,8.56,23.94,12.85,10.99
1886,-2.20,-1.30,4.05,13.25,16.88,21.54,25.01,22.09,19.50,13.60,7.23,-0.53,-0.39,11.39,22.88,13.44,11.83
1887,-1.23,0.36,0.65,9.03,19.36,22.42,27.14,22.31,17.37,11.97,6.03,1.01,-0.47,9.68,23.96,11.79,11.24
1888,-4.67,-1.04,-0.50,8.64,15.40,23.00,22.66,23.60,18.04,10.07,7.84,2.86,-1.57,7.85,23.09,11.98,10.34
1889,2.69,-1.34,5.20,11.25,18.56,22.57,24.37,22.51,19.41,10.34,7.64,5.52,1.40,11.67,23.15,12.46,12.17
1890,3.64,4.23,2.28,10.89,16.77,22.54,24.09,23.90,20.79,13.22,7.78,-0.46,4.46,9.98,23.51,13.93,12.97
1891,1.56,2.73,3.41,10.73,15.75,23.51,23.77,25.40,23.33,13.59,7.12,6.95,1.28,9.96,24.23,14.68,12.54
1892,0.37,1.51,1.97,9.97,16.30,24.59,25.56,24.64,19.12,12.59,6.49,0.64,2.94,9.41,24.93,12.73,12.51
1893,-4.29,-0.52,2.88,9.39,15.30,21.29,24.44,24.33,18.28,13.93,6.59,2.24,-1.39,9.19,23.35,12.93,11.02
1894,1.55,-1.98,6.83,10.56,17.42,22.96,25.06,22.55,21.38,13.86,5.39,3.70,0.60,11.60,23.52,13.54,12.32
1895,-0.84,-3.96,2.95,9.77,17.96,23.61,23.00,24.60,21.87,11.20,8.96,3.47,-0.37,10.23,23.74,14.01,11.90
1896,-1.33,-1.02,0.27,11.89,20.05,21.48,25.06,24.74,19.88,11.85,9.06,1.31,0.37,10.74,23.76,13.60,12.12
1897,-1.28,0.37,4.68,10.59,16.50,20.09,25.49,23.21,19.50,13.63,6.98,3.64,0.13,10.59,22.93,13.37,11.76
1898,1.59,2.15,7.86,8.73,15.18,22.25,25.26,24.60,21.80,15.15,7.87,1.43,2.46,10.59,24.04,14.94,13.01
1899,-0.95,-2.28,3.34,10.06,17.33,24.12,25.28,24.40,18.66,15.05,7.66,3.06,-0.60,10.24,24.60,13.79,12.01
1900,-0.19,-0.75,0.71,10.53,15.84,22.39,25.98,25.66,22.05,16.43,9.27,2.23,0.71,9.03,24.68,15.92,12.58
1901,0.29,-2.88,4.04,9.41,14.96,22.28,26.79,24.65,20.58,13.52,4.58,2.56,-0.12,9.47,24.57,12.89,11.70
1902,-0.91,-1.42,7.05,10.87,15.69,19.91,23.64,22.95,19.43,14.39,11.04,0.11,0.08,11.20,22.17,14.95,12.10
1903,-0.68,0.69,9.21,11.82,18.22,18.51,24.75,21.17,20.06,14.85,5.97,-0.27,0.04,13.08,21.48,13.63,12.06
1904,-4.02,-4.04,2.51,8.94,18.40,21.53,24.09,22.64,19.44,11.70,5.23,-1.61,-2.78,9.95,22.75,12.12,10.51
1905,-2.23,-4.63,4.49,10.12,16.56,21.48,25.20,23.74,20.69,14.91,5.92,3.39,-2.82,10.39,23.47,13.84,11.22
1906,3.00,-0.57,1.28,11.04,17.18,23.44,25.37,25.20,21.19,13.53,7.09,0.55,1.94,9.83,24.67,13.94,12.60
1907,1.23,-4.50,5.62,8.02,13.55,20.77,25.11,22.99,20.71,10.81,7.02,3.14,-0.91,9.06,22.96,12.85,10.99
1908,0.04,-3.54,4.70,11.06,17.50,22.74,26.53,24.07,20.34,15.83,7.36,2.42,-0.12,11.09,24.45,14.51,12.48
1909,0.81,2.57,2.80,9.21,16.14,22.36,23.29,22.54,19.13,12.84,9.46,0.34,1.93,9.38,22.73,13.81,11.96
