YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1908,999.90,999.90,999.90,999.90,17.12,19.36,23.99,23.75,22.56,17.94,15.03,12.11,999.90,999.90,22.37,18.51,999.90
1909,12.23,11.17,12.46,16.30,16.90,20.82,22.64,24.18,21.77,18.63,14.64,11.00,11.84,15.22,22.55,18.35,16.99
1910,10.97,12.06,15.19,17.94,19.44,20.13,24.10,22.88,22.91,20.09,15.95,14.69,11.34,17.52,22.37,19.65,17.72
1911,13.46,11.16,15.31,15.50,17.77,19.77,23.52,22.82,20.27,17.98,16.37,12.13,13.10,16.19,22.04,18.21,17.38
1912,14.52,15.27,12.32,14.22,18.59,20.73,22.79,21.81,21.01,17.32,17.30,12.19,13.97,15.04,21.78,18.54,17.33
1913,10.95,12.09,14.14,16.66,18.09,20.31,22.59,23.58,23.19,18.67,15.18,12.12,11.74,16.30,22.16,19.01,17.30
1914,12.29,14.27,16.86,17.30,16.86,20.14,22.53,24.15,22.79,21.56,19.38,10.99,12.89,17.01,22.27,21.24,18.35
1915,12.54,12.35,16.04,15.97,16.81,21.43,23.12,24.45,20.58,18.18,15.43,12.95,11.96,16.27,23.00,18.06,17.32
1916,9.96,15.42,16.70,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,12.78,999.90,999.90,999.90,999.90
1917,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1918,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1919,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1920,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,21.68,16.91,14.41,11.79,999.90,999.90,999.90,17.67,999.90
1921,11.35,13.21,15.08,15.26,15.86,20.85,24.59,23.50,21.80,19.69,16.52,14.58,12.12,15.40,22.98,19.34,17.46
1922,10.46,11.41,12.66,14.35,18.55,21.92,23.69,25.06,24.60,18.42,13.86,13.47,12.15,15.19,23.56,18.96,17.46
