YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,2.52,0.82,2.12,999.90,18.12,21.82,23.42,21.92,18.42,11.02,3.82,-2.78,2.33,10.11,22.39,11.09,11.48
1881,-5.98,-3.18,1.92,6.12,13.92,16.72,21.12,20.82,19.42,12.42,5.42,2.80,-3.98,7.32,19.55,12.42,8.83
1882,-3.10,-1.00,1.90,6.10,10.40,19.60,22.90,21.60,17.40,12.40,2.80,-2.31,-0.43,6.13,21.37,10.87,9.48
1883,-5.11,-2.91,-2.01,6.39,13.69,21.19,22.59,20.19,15.79,8.79,5.39,-2.22,-3.44,6.02,21.32,9.99,8.47
1884,-4.82,-0.12,0.78,6.28,13.08,19.88,20.38,20.68,18.68,11.18,4.48,-0.63,-2.39,6.71,20.31,11.45,9.02
1885,-2.73,-6.43,-2.53,7.87,13.17,19.77,23.57,20.87,15.37,10.67,6.27,0.36,-3.26,6.17,21.40,10.77,8.77
1886,-3.84,-3.24,1.66,9.06,13.46,17.66,21.86,19.76,16.96,10.26,5.36,-2.85,-2.24,8.06,19.76,10.86,9.11
1887,-3.95,-1.45,-0.45,7.05,16.45,18.75,24.75,19.55,14.95,10.35,4.55,-0.26,-2.75,7.68,21.02,9.95,8.97
1888,-6.66,-1.96,-0.36,6.14,12.64,20.14,20.24,21.44,14.84,7.84,6.04,0.83,-2.96,6.14,20.61,9.57,8.34
1889,1.63,-3.17,3.13,9.23,16.33,20.73,21.73,20.23,16.73,9.13,6.63,3.12,-0.24,9.56,20.90,10.83,10.26
1890,1.12,1.12,1.02,8.62,13.32,19.22,22.32,20.32,17.02,9.82,4.48,-2.93,1.79,7.65,20.62,10.44,10.12
1891,-1.03,-0.23,1.07,9.37,13.97,19.67,21.07,21.87,17.87,9.77,4.17,3.86,-1.40,8.14,20.87,10.60,9.55
1892,-2.44,-1.84,0.26,8.46,13.36,21.46,22.76,21.46,16.36,10.06,4.36,-2.15,-0.14,7.36,21.89,10.26,9.84
1893,-7.05,-3.25,0.45,7.15,13.75,18.55,21.75,21.15,14.55,11.45,4.25,-0.87,-4.15,7.12,20.48,10.08,8.38
1894,-1.37,-3.77,5.43,8.03,14.73,20.83,23.93,20.53,18.33,11.53,2.43,-0.78,-2.00,9.40,21.76,10.76,9.98
