YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1883,-10.50,-5.10,1.60,13.10,17.10,20.90,26.40,22.50,19.20,10.30,3.60,-1.89,-7.38,10.60,23.27,11.03,9.38
1884,-7.79,-6.29,2.01,8.81,17.11,24.31,24.81,23.71,21.51,13.91,3.21,-7.99,-5.32,9.31,24.28,12.88,10.29
1885,-9.39,-8.65,2.05,9.95,17.15,21.15,24.65,21.45,18.05,8.75,2.85,-2.05,-8.68,9.72,22.42,9.88,8.34
1886,-13.85,-4.35,0.05,10.05,18.95,21.85,25.45,999.90,999.90,13.85,1.05,-7.75,-6.75,9.68,23.69,11.14,9.44
1887,-9.54,-7.25,3.05,12.25,19.45,22.75,26.15,22.95,18.35,9.65,3.15,-5.55,-8.18,11.58,23.95,10.38,9.43
1888,-12.85,-3.35,-1.05,11.75,14.45,21.75,26.05,22.35,17.85,9.95,3.05,-0.75,-7.25,8.38,23.38,10.28,8.70
1889,-4.55,-5.05,5.25,11.65,16.95,20.95,22.65,21.15,17.55,10.45,1.25,3.75,-3.45,11.28,21.58,9.75,9.79
1890,-7.35,-3.75,0.05,12.75,16.15,24.05,26.65,21.95,16.75,10.35,4.65,-0.04,-2.45,9.65,24.22,10.58,10.50
1891,-2.14,-5.74,-1.84,12.06,15.26,20.66,21.56,21.66,20.46,10.46,1.46,0.56,-2.64,8.49,21.29,10.79,9.49
1892,-7.54,-1.24,1.16,8.86,12.66,22.56,24.76,22.76,19.86,999.90,999.90,999.90,-2.74,7.56,23.36,999.90,9.77
1893,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1894,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1895,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,9.74,2.03,-2.22,999.90,999.90,999.90,9.57,999.90
1896,-3.31,0.15,-0.25,14.99,20.08,22.91,24.80,23.70,999.90,999.90,-2.23,0.00,-1.79,11.61,23.80,999.90,11.59
1897,-7.20,-1.94,2.46,10.39,16.84,22.97,26.45,21.47,22.48,13.68,0.04,-7.99,-3.05,9.90,23.63,12.07,10.64
1898,999.90,-3.68,1.97,8.77,14.36,22.38,24.59,25.15,19.86,9.32,0.43,-6.57,-6.66,8.37,24.04,9.87,8.90
1899,-5.10,-10.46,-3.15,9.69,16.35,22.01,23.45,23.72,18.65,14.87,7.11,-4.85,-7.38,7.63,23.06,13.54,9.21
1900,-1.82,-7.64,1.46,11.78,17.81,21.56,23.90,24.55,18.86,15.06,1.54,-1.02,-4.77,10.35,23.34,11.82,10.18
1901,-3.47,-5.75,1.93,9.57,15.78,22.87,29.09,24.02,18.31,13.20,3.67,-5.48,-3.41,9.09,25.33,11.73,10.68
1902,-3.98,-6.70,5.17,10.03,18.33,19.08,23.00,21.78,15.72,12.91,4.49,-6.59,-5.39,11.18,21.29,11.04,9.53
1903,-3.51,-6.26,3.83,11.01,16.30,18.83,23.78,21.25,16.70,12.20,2.99,-3.65,-5.45,10.38,21.29,10.63,9.21
1904,-7.00,-6.46,2.49,7.16,15.78,19.66,22.04,21.62,18.72,12.89,6.00,-3.32,-5.70,8.48,21.11,12.54,9.10
1905,-10.55,-9.54,7.42,9.78,15.67,21.97,21.87,23.87,19.39,9.65,4.64,-1.73,-7.80,10.96,22.57,11.23,9.24
1906,-2.09,-2.05,-3.30,12.33,16.83,21.18,21.74,23.49,19.78,10.37,2.40,-1.97,-1.96,8.62,22.14,10.85,9.91
1907,-6.65,-2.96,6.44,5.33,12.85,20.04,23.60,23.01,18.26,11.62,3.32,-1.67,-3.86,8.21,22.22,11.07,9.41
